id,normalized_name,category_code,founded_at,country_code
c:10352,vayersoft,games_video,2007-08-07,UKR
c:10354,aventure media,web,2003-01-01,GBR
c:103556,trivium systems,software,1996-01-01,USA
c:10356,ciao,web,1999-01-01,DEU
c:103561,amrit advanced biotech,biotech,2007-03-03,GBR
c:1036,testuff,web,2007-01-01,ISR
c:10360,beck energy,cleantech,2002-01-01,DEU
c:10361,splaht,web,2008-01-01,USA
c:10362,project amarillo,games_video,2005-07-04,USA
c:103641,bacciz,mobile,2009-01-01,USA
c:10365,alefo interactive,web,2005-11-01,ISR
c:10366,susuh,advertising,2007-07-31,DEU
c:103683,social gear,mobile,2011-08-01,USA
c:10369,frankst0ned,web,2001-01-01,AUS
c:103690,hydra electric company,other,1948-01-01,USA
c:103697,liveprocess,software,2004-01-01,USA
c:10371,utagoe,games_video,2001-01-01,JPN
c:103719,viewmybrand,other,2009-01-01,USA
c:103741,electroniccigarettesfast,ecommerce,2010-07-01,USA
c:103743,cauzoom,web,2011-04-01,USA
c:10376,usamp,web,2008-04-01,USA
c:10378,artandseek,other,2007-06-27,USA
c:10379,luxenti fka cosmo industrie,other,2007-11-01,ITA
c:103791,aver informatics,analytics,2010-06-04,USA
c:1038,rubicon project,advertising,2007-05-01,USA
c:10381,kale host,network_hosting,2005-10-09,TUR
c:103820,famestart,other,2011-02-15,USA
c:10384,daily flat rental,ecommerce,2008-01-06,ESP
c:103853,habanero consulting group,consulting,1996-01-01,CAN
c:103857,udi system,search,2010-02-18,IND
c:10386,libertas academica,web,2004-01-01,NZL
c:10388,townconnect,other,2006-08-01,USA
c:1039,zolve,network_hosting,2007-01-01,USA
c:103903,weight wins,medical,2008-01-01,GBR
c:10392,intela,advertising,2006-02-02,USA
c:103924,centiv services,\N,2001-01-01,USA
c:10393,spare change payments,web,2008-01-01,USA
c:103933,kimola,search,2011-11-01,TUR
c:103948,zambu,web,2011-08-01,CZE
c:10395,youpark,software,2006-04-02,DNK
c:10396,nyx interactive,games_video,2006-01-01,SWE
c:103965,the business enhancement business,other,2011-05-24,GBR
c:103973,mobile tulip,mobile,2011-01-01,NLD
c:10398,picateers,web,2005-01-01,USA
c:103987,genius loci travel,other,2001-06-01,ITA
