,object_id,funding_round_code,raised_amount_usd,participants,a,angel,b,c,d,e,f,g,seed,time_since_founded
12964,c:57143,seed,30000,1,0,0,0,0,0,0,0,0,1,0
19772,c:11987,angel,832099.38937198067634,2,0,1,0,0,0,0,0,0,0,0
27576,c:167243,seed,20000,0,0,0,0,0,0,0,0,0,1,0
19776,c:166415,seed,20000,1,0,0,0,0,0,0,0,0,1,0
27407,c:190938,seed,688000,2,0,0,0,0,0,0,0,0,1,0
12730,c:60881,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
27401,c:255118,seed,866032.61638225255973,3,0,0,0,0,0,0,0,0,1,0
19845,c:166947,seed,15500,1,0,0,0,0,0,0,0,0,1,0
12699,c:60704,angel,250000,0,0,1,0,0,0,0,0,0,0,0
27360,c:254900,seed,51680,2,0,0,0,0,0,0,0,0,1,0
19859,c:153208,seed,2500000,8,0,0,0,0,0,0,0,0,1,0
12671,c:60564,angel,129690,1,0,1,0,0,0,0,0,0,0,0
19863,c:12036,seed,2000000,1,0,0,0,0,0,0,0,0,1,0
27345,c:173153,seed,300000,0,0,0,0,0,0,0,0,0,1,0
19872,c:167146,seed,1000000,0,0,0,0,0,0,0,0,0,1,0
27337,c:247822,seed,300000,0,0,0,0,0,0,0,0,0,1,0
27336,c:230892,seed,25000,1,0,0,0,0,0,0,0,0,1,0
19875,c:167158,seed,600000,1,0,0,0,0,0,0,0,0,1,0
27332,c:247802,seed,6280000,1,0,0,0,0,0,0,0,0,1,0
27330,c:246916,seed,10000,1,0,0,0,0,0,0,0,0,1,0
12641,c:60466,seed,100000,0,0,0,0,0,0,0,0,0,1,0
12736,c:60914,seed,139260,0,0,0,0,0,0,0,0,0,1,0
12739,c:60943,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
12741,c:60965,seed,5000,1,0,0,0,0,0,0,0,0,1,0
12755,c:61063,seed,120000,0,0,0,0,0,0,0,0,0,1,0
12840,c:61574,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
19787,c:166394,seed,400000,0,0,0,0,0,0,0,0,0,1,0
19792,c:166594,angel,150000,1,0,1,0,0,0,0,0,0,0,0
12823,c:36976,seed,866032.61638225255973,2,0,0,0,0,0,0,0,0,1,0
12822,c:61433,angel,200000,0,0,1,0,0,0,0,0,0,0,0
19798,c:166644,seed,100000,0,0,0,0,0,0,0,0,0,1,0
12810,c:61352,seed,300000,0,0,0,0,0,0,0,0,0,1,0
12809,c:61352,seed,500000,0,0,0,0,0,0,0,0,0,1,0
13089,c:49580,seed,500000,0,0,0,0,0,0,0,0,0,1,0
27502,c:41894,seed,866032.61638225255973,2,0,0,0,0,0,0,0,0,1,0
27495,c:256250,angel,20000,1,0,1,0,0,0,0,0,0,0,0
12788,c:61244,seed,500000,0,0,0,0,0,0,0,0,0,1,0
5127,c:23948,seed,200000,0,0,0,0,0,0,0,0,0,1,0
27469,c:187446,angel,580000,1,0,1,0,0,0,0,0,0,0,0
19828,c:160585,seed,4500000,0,0,0,0,0,0,0,0,0,1,0
27455,c:255665,seed,110000,0,0,0,0,0,0,0,0,0,1,0
27449,c:255482,angel,20000000,0,0,1,0,0,0,0,0,0,0,0
5155,c:24497,seed,750000,2,0,0,0,0,0,0,0,0,1,0
19811,c:166730,seed,50000,2,0,0,0,0,0,0,0,0,1,0
13090,c:49580,seed,500000,0,0,0,0,0,0,0,0,0,1,0
4775,c:22806,seed,150000,0,0,0,0,0,0,0,0,0,1,0
19594,c:164818,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
4467,c:10393,seed,509412,0,0,0,0,0,0,0,0,0,1,0
13326,c:58696,angel,250000,1,0,1,0,0,0,0,0,0,0,0
4471,c:20610,seed,500000,0,0,0,0,0,0,0,0,0,1,0
28180,c:261539,seed,40000,1,0,0,0,0,0,0,0,0,1,0
4479,c:20696,angel,125000,0,0,1,0,0,0,0,0,0,0,0
4481,c:17030,seed,50000,2,0,0,0,0,0,0,0,0,1,0
13322,c:66001,seed,250000,1,0,0,0,0,0,0,0,0,1,0
19417,c:163128,angel,832099.38937198067634,5,0,1,0,0,0,0,0,0,0,0
19419,c:163205,seed,100000,0,0,0,0,0,0,0,0,0,1,0
13305,c:65934,seed,200000,0,0,0,0,0,0,0,0,0,1,0
19423,c:163243,seed,50000,3,0,0,0,0,0,0,0,0,1,0
4513,c:20981,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
4515,c:21006,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
4522,c:14884,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
4525,c:20286,seed,30000,0,0,0,0,0,0,0,0,0,1,0
