company_name,category_code,company_id,finance_people,employee,company_age,milestones,revisions,techcrunch,competitors,competitors_acquired,offices,products,providers,avg_funding_rounds_investors,avg_funding,founders,succ_founders,founders_exp,acquired,investors,acquisitions,acquisitions_cost,investments,funding_rounds
Brosix,public_relations,c:102713,0,1,140,1,0,0,2845,215,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TRUECar,transportation,c:10272,0,29,152,3,0,0,488,7,5,0,0,5,50228571,3,0,488,0,16,2,NULL,0,7
Angstro,software,c:10273,0,4,125,NULL,0,0,17921,1465,1,1,0,1,225000,2,2,344,1,1,0,0,0,1
Klaushofer,biotech,c:102734,0,NULL,296,NULL,0,0,4429,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IncSpring,public_relations,c:10274,0,1,114,NULL,0,0,2845,215,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Prestago,web,c:102740,0,1,81,1,0,0,15117,971,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Social Fixation",advertising,c:102741,0,1,80,1,0,0,6097,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TopNotchThemes,ecommerce,c:10275,0,2,114,NULL,0,0,9064,271,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knowledge Mgmt. Solutions, Inc.",web,c:10276,0,2,215,NULL,0,0,15117,971,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABC Signup",software,c:102767,0,1,180,1,0,0,17921,1466,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldres,NULL,c:10277,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHOP.CA,ecommerce,c:102774,1,8,74,1,0,0,9064,271,1,0,0,4,26752221,2,0,0,0,4,1,NULL,0,2
"IP Advisers",NULL,c:10278,0,1,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Text A Cab",transportation,c:102783,0,1,111,1,0,0,488,7,1,0,0,0,50000,0,0,0,0,0,0,0,0,1
"AGENTUR - Wohlrab",ecommerce,c:102785,0,NULL,103,NULL,0,0,9064,271,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pop VoIP",public_relations,c:102789,0,NULL,0,NULL,0,0,2845,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Life Medical Supplies",other,c:102790,0,NULL,0,NULL,0,0,13616,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frame Channel, Inc.",NULL,c:102795,0,NULL,0,NULL,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BuyMyTronics.com,hardware,c:1028,0,1,128,3,0,0,2950,200,1,1,0,0,NULL,1,0,0,0,0,0,0,0,1
"Andersen Consulting",NULL,c:10280,2,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wohoapp,other,c:102804,0,6,72,1,0,0,13616,313,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NetGravity,software,c:10281,1,8,0,1,0,0,17921,1466,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AisleFinder,NULL,c:102811,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shopeller Eshops",ecommerce,c:102832,0,NULL,78,NULL,0,0,9064,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thru, Inc.",software,c:102836,0,8,187,1,0,0,17921,1466,4,0,0,4,3683500,0,0,0,0,11,1,NULL,0,4
WowYow,software,c:102838,0,NULL,0,NULL,0,0,17921,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfsmith,NULL,c:102849,0,1,0,1,0,0,0,-1,1,0,0,0,125000000,0,0,0,1,0,0,0,0,1
"Thistle Products Ltd",other,c:10285,0,NULL,440,NULL,0,0,13616,313,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Golf Galaxy",NULL,c:102850,0,NULL,248,NULL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smitty's Dot Golf",ecommerce,c:102851,0,NULL,368,NULL,0,0,9064,271,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turisticka Komora na Makedonija-TKM",search,c:10286,0,7,115,NULL,0,0,2181,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NextGame,web,c:102860,0,2,79,2,0,0,15117,971,0,0,0,0,0,1,0,224,0,0,0,0,0,0
WeHostels,travel,c:102867,0,9,70,3,0,0,935,19,1,1,0,5,1200000,2,2,NULL,1,5,0,0,0,1
EDIGMA,web,c:10287,0,3,204,NULL,0,0,15117,971,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Sproutlet,software,c:102878,0,2,79,1,0,0,17921,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Displax,software,c:10289,0,2,164,NULL,0,0,17921,1466,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"Harvey Prince",ecommerce,c:102891,0,NULL,0,NULL,0,0,9064,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tasted Menu",hospitality,c:102898,0,3,104,1,0,0,767,13,1,0,0,13,NULL,1,0,176,0,13,0,0,0,1
EdigmaHealthCare,web,c:10290,0,1,128,NULL,0,0,15117,971,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"D.C. Estrada",NULL,c:102904,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osmium Development Company",NULL,c:102905,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steelcase,NULL,c:102906,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Short Term Housing",other,c:102908,0,1,111,1,0,0,13616,313,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Placefav,web,c:10291,0,1,0,NULL,0,0,15117,971,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Contegra Systems",search,c:102911,0,2,363,1,0,0,2181,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scavado,software,c:102912,0,1,118,1,0,0,17921,1466,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrome OS Apps.org",NULL,c:102913,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
easyOwn,NULL,c:102915,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG2,advertising,c:10292,0,12,211,1,0,0,6097,312,1,0,0,0,0,0,0,0,0,0,0,0,0,0
easyOwn.it,ecommerce,c:102922,1,7,77,2,0,0,9064,271,2,8,0,5,138000,0,0,0,0,5,0,0,0,1
ShareBlossom,enterprise,c:10293,0,3,115,NULL,0,0,4440,409,2,0,0,0,0,3,0,0,0,0,0,0,0,0
mobintent,advertising,c:102933,0,NULL,85,NULL,0,0,6097,312,1,0,0,1,NULL,0,0,0,0,1,0,0,0,1
Flindster,other,c:102936,0,2,75,NULL,0,0,13616,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doremond,search,c:102941,0,NULL,73,NULL,0,0,2181,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foodista,hospitality,c:10295,0,3,115,1,0,0,767,13,1,0,0,1,650000,3,0,248,0,1,0,0,0,2
EverWrite,search,c:102952,0,3,69,1,0,0,2181,70,1,0,0,0,0,2,0,140,0,0,0,0,0,0
Intenuum,games_video,c:102959,0,NULL,104,NULL,0,0,7519,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InfoReach,software,c:10296,0,6,272,2,0,0,17921,1466,3,8,0,0,0,0,0,0,0,0,0,0,0,0
iThryv,web,c:10298,0,5,122,2,0,0,15117,971,1,0,0,0,0,2,0,0,0,0,0,0,0,0
NewsPlugger,other,c:102983,0,NULL,0,NULL,0,0,13616,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HY-TEK Sports Software",software,c:10299,0,NULL,428,NULL,0,0,17921,1465,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Funny Or Die",games_video,c:103,0,16,126,2,0,0,7519,342,1,2,0,2,9000000,5,0,524,0,4,0,0,0,4
CityTherapy,web,c:1030,0,2,150,NULL,0,0,15117,970,1,0,0,1,NULL,2,2,0,1,1,0,0,0,1
FlatSoft,NULL,c:10300,0,2,0,NULL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kazan Portal",NULL,c:10301,0,1,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FilterBoxx Water & Environmental",cleantech,c:103016,0,3,0,NULL,0,0,1939,115,1,0,0,2,9000000,0,0,0,0,2,0,0,0,1
Govity.com,web,c:103029,0,2,78,1,0,0,15117,971,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sho'fr,web,c:10303,0,NULL,134,NULL,0,0,15117,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trottergo,web,c:103074,0,NULL,0,NULL,0,0,15117,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MyFoodMyHealth,other,c:103079,0,NULL,0,NULL,0,0,13616,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klatcher,web,c:10308,0,1,110,1,0,0,15117,971,1,1,0,0,150000,1,0,224,0,0,0,0,0,1
Captain-CV.com,consulting,c:103084,0,1,0,NULL,0,0,5005,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0
