acquired_object_id,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquired_time_since_founded
c:283636,0,0,0,0,0,0,1,0,0,0,[13484.]
c:52096,0,0,0,0,0,0,1,0,0,0,[13546.]
c:169715,0,0,0,0,0,0,1,0,0,0,[13755.]
c:39768,0,0,0,0,0,0,1,0,0,0,[13757.]
c:56131,0,0,0,0,0,0,1,0,0,0,[13874.]
c:33796,0,0,0,0,0,0,1,0,0,1,[13921.]
c:25683,0,0,0,0,0,0,1,0,0,0,[13993.]
c:47592,0,0,0,0,0,0,1,0,1,0,[14005.]
c:33891,0,0,0,0,0,0,1,0,0,0,[14011.]
c:230508,0,0,0,0,0,0,1,0,0,0,[14034.]
c:9385,0,0,0,0,0,0,1,0,0,0,[14114.]
c:259802,0,0,0,0,0,0,1,0,0,0,[14120.]
c:15136,0,0,0,0,0,0,1,0,0,0,[14274.]
c:41695,0,0,0,0,0,0,1,0,0,0,[14338.]
c:63568,0,0,0,0,0,0,1,0,0,0,[14455.]
c:32516,0,0,0,0,0,0,1,0,0,0,[14496.]
c:30971,0,0,0,0,0,0,1,0,0,0,[14586.]
c:39589,0,0,0,0,0,0,1,0,0,0,[14601.]
c:151267,0,0,0,0,0,0,1,0,0,0,[14670.]
c:25806,0,0,0,0,0,0,1,1,0,0,[14727.]
c:26639,0,0,0,0,0,0,1,0,0,0,[14765.]
c:32380,0,0,0,0,0,0,1,0,0,0,[14766.]
c:28272,0,0,0,0,0,0,1,1,0,0,[14806.]
c:64681,0,0,0,0,0,0,1,0,1,0,[14893.]
c:281376,0,0,0,0,0,0,1,0,0,0,[14934.]
c:36320,0,0,0,0,0,0,1,0,0,0,[14936.]
c:29472,0,0,0,0,0,0,1,0,0,0,[15090.]
c:27049,0,0,0,0,0,0,1,0,0,0,[15135.]
c:9150,0,0,0,0,0,0,1,1,0,0,[15184.]
c:235405,0,0,0,0,0,0,1,0,0,0,[15202.]
c:275958,0,0,0,0,0,0,1,0,0,0,[15279.]
c:21317,0,0,0,0,0,0,1,0,0,0,[15288.]
c:24842,0,0,0,0,0,0,1,0,0,0,[15331.]
c:80689,0,0,0,0,0,0,1,0,0,1,[15519.]
c:261293,0,0,0,0,0,0,1,0,0,0,[15586.]
c:29453,0,0,0,0,0,0,1,0,0,0,[15613.]
c:39953,0,0,0,0,0,0,1,0,0,0,[15776.]
c:47472,0,0,0,0,0,0,1,0,0,0,[15855.]
c:234643,0,0,0,0,0,0,1,0,0,0,[15887.]
c:227861,0,0,0,0,0,0,1,0,0,0,[15953.]
c:64814,0,0,0,0,0,0,1,0,0,0,[15958.]
c:34570,0,0,0,0,0,0,1,0,0,0,[16193.]
c:266748,0,0,1,0,0,0,0,0,0,0,[16336.]
c:29307,0,0,0,0,0,0,1,0,1,0,[16420.]
c:18831,0,0,0,0,0,0,1,0,0,0,[16436.]
c:30923,0,0,0,0,0,0,1,0,0,1,[16576.]
c:47475,0,0,0,0,0,0,1,0,0,0,[16747.]
c:29338,0,0,0,0,0,0,1,0,0,0,[16787.]
c:60338,0,0,0,0,0,0,1,0,1,0,[17110.]
c:573,0,0,0,0,0,0,1,0,0,0,[17136.]
c:286176,0,0,0,0,0,0,1,1,0,0,[17147.]
c:59380,0,0,0,0,0,0,1,0,0,0,[17307.]
c:26282,0,0,0,0,0,0,1,0,0,0,[17348.]
c:32948,0,0,0,0,0,0,1,0,0,0,[17376.]
c:58141,0,0,0,0,0,0,1,0,0,0,[17406.]
c:49890,0,0,0,0,0,0,1,0,0,0,[17681.]
c:221145,0,0,0,0,0,0,1,0,0,0,[17685.]
c:65793,0,0,0,0,0,0,1,0,0,0,[17902.]
c:216058,0,0,0,0,0,0,1,0,0,0,[18146.]
c:152371,0,0,0,0,0,0,1,0,0,0,[18225.]
c:65985,0,0,0,0,0,0,1,0,0,0,[18264.]
c:44556,0,0,0,0,0,0,1,0,1,0,[19075.]
c:13402,0,0,0,0,0,0,1,1,0,0,[19086.]
c:274053,0,0,0,0,0,0,1,0,0,0,[19289.]
c:10771,0,0,0,0,0,0,1,0,0,1,[19509.]
c:236153,0,0,0,0,0,0,1,1,0,0,[19517.]
c:276941,0,0,0,0,0,0,1,0,0,0,[19666.]
c:2332,0,0,0,0,0,0,1,0,0,0,[19678.]
c:245578,0,0,0,1,0,0,0,0,0,0,[20306.]
c:38639,0,0,0,0,0,0,1,0,0,0,[20445.]
c:284314,0,0,0,0,0,0,1,1,0,0,[20792.]
c:33643,0,0,0,0,0,0,1,0,0,0,[21219.]
c:223813,0,0,0,0,0,0,1,0,0,0,[21748.]
c:28358,0,0,0,0,0,0,1,0,1,0,[22488.]
c:30804,0,0,0,0,0,0,1,0,0,0,[22579.]
c:24735,0,0,0,0,0,0,1,0,0,0,[23275.]
c:281024,0,0,0,0,0,0,1,0,0,0,[23333.]
c:66684,0,0,0,0,0,0,1,1,0,0,[23394.]
c:26717,0,0,0,0,0,0,1,0,0,0,[23425.]
c:230703,0,0,0,0,0,0,1,0,0,0,[24257.]
c:267405,0,0,0,0,0,0,1,0,0,0,[24374.]
c:30506,0,0,0,0,0,0,1,0,0,0,[24658.]
c:269416,0,0,0,0,0,0,1,0,0,0,[24747.]
c:38641,0,0,0,0,0,0,1,0,0,0,[24828.]
c:242705,0,0,0,0,0,0,1,0,0,0,[26752.]
c:216499,0,0,0,0,0,0,1,0,0,0,[27342.]
c:25631,0,0,0,0,0,0,1,0,0,0,[27513.]
c:32156,0,0,0,0,0,0,1,0,0,0,[28032.]
c:29313,0,0,0,0,0,0,1,1,0,0,[28116.]
c:267421,0,0,0,0,0,0,1,0,0,0,[28392.]
c:5296,0,0,0,0,0,0,1,0,0,0,[29436.]
c:34009,0,0,0,0,0,0,1,0,0,0,[29505.]
c:2332,0,0,0,0,0,0,1,0,1,0,[29517.]
c:51460,0,0,0,0,0,0,1,0,0,0,[29704.]
c:81111,0,0,0,0,0,0,1,1,0,0,[30135.]
c:86083,0,0,0,0,0,0,1,1,0,0,[30186.]
c:10232,0,0,0,0,0,0,1,0,0,0,[30591.]
c:270108,0,0,0,0,0,0,1,1,0,0,[30595.]
c:220985,0,0,0,0,0,0,1,0,0,0,[30903.]
c:58517,0,0,0,0,0,0,1,0,0,0,[30979.]
c:7389,0,0,0,0,0,0,1,0,0,0,[31502.]
c:25144,0,0,0,0,0,0,1,0,0,0,[32415.]
c:241120,0,0,0,0,0,0,1,0,0,0,[33442.]
c:256351,0,0,0,0,0,0,1,0,0,0,[33468.]
c:271047,0,0,0,0,0,0,1,0,0,0,[33520.]
c:256435,0,0,0,0,0,0,1,0,0,0,[34564.]
c:4988,0,0,0,0,0,0,1,0,0,0,[35685.]
c:34088,0,0,0,0,0,0,1,0,0,0,[36326.]
c:26287,0,0,0,0,0,0,1,0,0,0,[36591.]
c:277231,0,0,0,0,0,0,1,0,0,1,[39754.]
c:213995,0,0,0,0,0,0,1,0,0,0,[40318.]
