acquiring_object_id,acquired_object_id,price_amount,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquiring_time_since_founded
c:6478,c:44693,17000000,0,0,0,0,0,0,1,0,0,0,[5817.]
c:37796,c:63660,20000000,0,0,0,0,0,0,1,0,1,0,[5821.]
c:672,c:285961,16140150,0,0,0,0,0,0,1,0,0,0,[5823.]
c:351,c:12956,28200000,0,0,0,0,0,0,1,0,0,0,[5839.]
c:1727,c:1726,120000000,0,0,0,0,0,0,1,1,0,0,[5844.]
c:212,c:26851,1059000000,0,0,0,0,0,0,1,1,0,0,[5844.]
c:16077,c:12190,30000000,0,0,0,0,0,0,1,1,0,0,[5846.]
c:39451,c:44901,9000000,0,0,0,0,0,0,1,1,0,0,[5846.]
c:65982,c:65981,3150000,0,0,0,0,0,0,1,0,1,0,[5846.]
c:7815,c:52982,2400000,0,0,0,0,0,0,1,0,0,0,[5856.]
c:26940,c:33795,126000000,0,0,0,0,0,0,1,1,0,0,[5858.]
c:8750,c:147546,80000000,0,0,0,0,0,0,1,1,0,0,[5860.]
c:1735,c:11716,225000000,0,0,0,0,0,0,1,1,0,0,[5877.]
c:27810,c:52590,14800000,0,0,0,0,0,0,1,0,0,0,[5878.]
c:3169,c:163905,2500000,0,0,0,0,0,0,1,0,1,0,[5885.]
c:29,c:2410,164000000,0,0,0,0,0,0,1,1,0,0,[5900.]
c:20,c:9050,80000000,0,0,0,0,0,0,1,0,0,0,[5925.]
c:31258,c:31257,32450000,0,0,0,0,0,0,1,0,0,0,[5931.]
c:246335,c:258012,23000,0,0,0,0,0,0,1,1,0,0,[5945.]
c:15297,c:4014,25500000,0,0,0,0,0,0,1,0,1,0,[5947.]
c:17124,c:17887,35000000,0,0,0,0,0,0,1,1,0,0,[5966.]
c:36845,c:14477,10000000,0,0,0,0,0,0,1,0,0,0,[5968.]
c:50906,c:36648,525000000,0,0,0,0,0,0,1,0,0,0,[5975.]
c:18134,c:18133,25000000,0,0,0,0,0,0,1,0,0,0,[5977.]
c:29,c:336,90000000,0,0,0,0,0,0,1,1,0,0,[5981.]
c:32482,c:9811,75000000,0,0,0,0,0,0,1,0,0,0,[5981.]
c:26477,c:21378,72000000,0,0,0,0,0,0,1,0,0,0,[5985.]
c:1385,c:195881,300000000,0,0,0,0,0,0,1,1,0,0,[5997.]
c:29556,c:50983,58000000,0,0,0,0,0,0,1,0,0,0,[6003.]
c:162800,c:162799,800000,0,0,0,1,0,0,0,1,0,0,[6008.]
c:317,c:1782,110000000,0,0,0,0,0,0,1,1,0,0,[6024.]
c:838,c:63505,200000000,0,0,0,0,0,0,1,0,0,0,[6050.]
c:16675,c:11888,31000000,0,0,0,0,0,0,1,0,0,0,[6051.]
c:29580,c:83701,4500000,0,0,0,0,0,0,1,1,0,0,[6053.]
c:52337,c:150080,250000000,0,0,0,0,0,0,1,0,0,0,[6055.]
c:5473,c:30537,204260000,0,0,0,0,0,0,1,0,0,0,[6069.]
c:17218,c:26744,300000000,0,0,0,0,0,0,1,0,1,0,[6071.]
c:3169,c:90087,70000000,0,0,0,0,0,0,1,0,1,0,[6074.]
c:29580,c:2156,74400000,0,0,0,0,0,0,1,0,1,0,[6077.]
c:259418,c:259417,225000000,0,0,0,0,0,0,1,0,0,0,[6083.]
c:27081,c:28564,773000,0,0,0,0,0,0,1,0,0,0,[6084.]
c:12422,c:35375,110000000,0,0,0,0,0,0,1,0,0,1,[6097.]
c:28498,c:28497,72700000,0,0,0,0,0,0,1,0,0,0,[6109.]
c:48911,c:48902,8000000,0,0,1,0,0,0,0,0,1,0,[6118.]
c:34527,c:37426,5000000,0,0,0,0,0,0,1,0,0,0,[6119.]
c:7563,c:52047,136000000,0,0,0,0,0,0,1,0,0,0,[6120.]
c:29,c:1541,55000000,0,0,0,0,0,0,1,0,0,0,[6121.]
c:14008,c:28680,3600000,0,0,0,0,0,0,1,0,0,0,[6122.]
c:8736,c:88488,90000000,0,0,0,0,0,0,1,0,1,0,[6126.]
c:19308,c:56460,65000000,0,0,1,0,0,0,0,1,0,0,[6140.]
c:26797,c:275459,190000000,0,0,0,0,0,0,1,1,0,0,[6145.]
c:273012,c:32390,1600000000,0,0,0,0,0,0,1,0,1,0,[6152.]
c:22767,c:22764,34300000,0,0,0,0,0,0,1,1,0,0,[6153.]
c:317,c:49052,545000000,0,0,0,0,0,0,1,0,1,0,[6155.]
c:59653,c:3484,28000000,0,0,0,0,0,0,1,0,0,0,[6158.]
c:14008,c:30529,139150000,0,0,0,0,0,0,1,0,0,0,[6177.]
c:36983,c:37174,35500000,0,0,0,0,0,0,1,0,0,0,[6185.]
